Place,Frequency
Piz Bernina,144
Pontresina,80
Tschiervahütte,72
Piz Morteratsch,71
Bovalhütte,56
Piz Roseg,56
Bernina,51
Piz Tschierva,46
Piz Palü,45
Val Roseg,40
Firn,40
Morteratsch,38
Steigeisen,31
Fuorcla Prievlusa,27
Bellavista,25
Engadin,24
Piz Chalchagn,20
Piz Bianco,20
Ostalpen,20
Alpen,20
Fuorcla,20
Trittschnee,19
Wand,18
Fuorcla da Boval,18
Bündner,18
Bohrhaken,17
Normalroute,17
La Spedla,17
Diavolezza,17
Piz Scerscen,16
Fuorcla Boval,16
Nordgrat,15
Hotel Roseg,15
Morteratschgletscher,15
Buuch,15
Fortezza,15
Piz Umur,14
Alp Misaun,14
Skidepot,13
Isla Persa,13
Rosegtal,11
Piz Trovat,10
Piz Spinas,10
Verhältnissen,10
Fuorcla Bellavista,10
Tschiervagletscher,9
Vadret da Tschierva,9
Biancograt,9
Piz Misaun,9
Tschierva-Hütte,9
Rinne,8
Chamanna da Tschierva,8
Spalla,8
Palü,8
Morteratschgletschers,8
Pasta,8
Piz Boval,8
Vadret Pers,7
RhB,7
Spedla,7
Geröll,7
Italiener,7
Dunkeln,7
Graubünden,7
Marco e Rosa Hütte,7
Schneefeld,7
vetta,7
Samedan,7
Nebel,7
Piz Alv,7
Morgenessen,7
Fuorcla Tschierva,7
Bahnhof Morteratsch,7
Berninagruppe,6
Schweiz,6
Österreicher,6
Terrassa,6
Bahnhof Pontresina,6
Engadina,6
Rifugio Marco e Rosa,6
Chamanna da Boval,6
Ostgipfel,6
Boval Hütte,6
Piz Mandra,6
Italien,6
Grenzen,5
Boval,5
II Grad,5
Bergschrund,5
Casaccia,5
Fuorcla Crast'Agüzza,5
Chur,5
Tschierva,5
Blankeis,5
Rifugio,5
Bergen,5
Regen,5
Persgletscher,5
Grates,5
Boval-Hütte,5
Coaz Hütte,5
Roseg,5
Chünetta,5
Val Rosegg,4
Chamuotschs,4
Pulverschnee,4
II. Grad,4
St. Moritz,4
Pickel,4
Vadrettin da Tschierva,4
Füssen,4
Hause,4
Pizzo Bianco,4
Abseilstelle,4
oberen Teil,4
Piz Aguagliouls,4
Berninamassiv,4
III Grad,4
Abseilpiste,4
Monte Scerscen,4
Aufstiegs,4
cima,4
Tschierva Hütte,4
Fuorcla Trovat,4
Sonnenaufgang,4
Trittfirn,4
Ost-Südostflanke,3
Spallagrat,3
Fuorcla Misaun,3
Lindau,3
Rückfahrt,3
Gipfelfelsen,3
Vadret da Morteratsch,3
discesa,3
Maloja,3
Dreitausender,3
Gipfelrast,3
Vadret da Misaun,3
Crast' Agüzza,3
Piz Zupò,3
Graubündens,3
Corn Boval,3
Oberengadin,3
Bianco,3
Glücklicherweise,3
Tal,3
Coaz-Hütte,3
Fuorcla da Tschierva,3
Ca,3
Bernina-Gruppe,3
Misaun,3
Morteratsch-Gletscher,3
Tiefblick,3
Puoz Bass,3
Felsturm,3
Führern,3
Kurzum,3
Fop,3
cresta,3
Reto,3
Piz Cambrena,3
Bernina-Gebiet,3
troppo,3
Piz Zupo,3
Bernina-Massiv,3
Fazit,3
Bellavista-Plateau,3
Berninascharte,3
Fuorcla Crast’Agüzza,3
Ansturm,2
Bündner Alpen,2
Bern,2
Piz Umurs,2
Piz Berninas,2
Dent Blanche,2
