Place,Latitude,Longitude
Piz Bernina,46.3824278,9.9080521
Pontresina,46.489993,9.9042965
Tschiervahütte,46.40385045,9.880129323931119
Piz Morteratsch,46.402496,9.9015264
Piz Roseg,46.3736139,9.8832753
Bovalhütte,46.4152334,9.9250798
Bernina,46.32992285,10.045889473641354
Piz Tschierva,46.4144663,9.8862774
Piz Palü,46.601415149999994,9.598526864372962
Val Roseg,46.43794221681305,9.866750455639774
Firn,31.05931195,-7.903509480403525
Morteratsch,46.4507365,9.940432
Fuorcla Prievlusa,46.3939731,9.9068242
Engadin,46.4305069,9.7631108
Piz Chalchagn,46.4513979,9.9058
Alpen,45.9081401,9.141582381412086
Piz Bianco,46.3845983,9.9065742
Ostalpen,47.0,12.0
Fuorcla,46.5901075,10.0080943
Bündner,46.846731,9.535666689336045
Fuorcla da Boval,46.4117694,9.9019668
Wand,46.975060549999995,10.53405127288698
Diavolezza,46.4106951,9.9670632
Bohrhaken,46.0980419,7.7328072
La Spedla,46.3809172,9.9073907
Fuorcla Boval,46.4117694,9.9019668
Piz Scerscen,46.3783872,9.9007556
Buuch,46.384239,9.9320179
Morteratschgletscher,46.395720350000005,9.925197414843318
Hotel Roseg,46.27249155,9.844181630856863
Fortezza,46.7868474,11.61245
Nordgrat,46.6503259645893,7.648711411146766
Piz Umur,46.3886262,9.8891354
Skidepot,47.328515,9.8852265
Isla Persa,46.4048759,9.945022
Rosegtal,46.4890557,9.8987686
Piz Trovat,46.4057017,9.9704286
Piz Spinas,46.5478604,9.826892
Fuorcla Bellavista,46.3776235,9.946005
Biancograt,46.38788432952588,9.905809090658993
Tschiervagletscher,46.39145425,9.894992558175602
Piz Misaun,46.426328,9.8940409
Vadret da Tschierva,46.39145425,9.894992558175602
Tschierva-Hütte,46.40385045,9.880129323931119
