Place,Frequency
Zinal,103
Bishorn,56
Weisshorn,55
Tracuithütte,48
Turtmanngletscher,29
Firn,17
Steigeisen,16
Cabane de Tracuit,15
Bishorns,14
Wallis,12
Weisshorns,12
Randa,11
Nordgrat,10
Weißhorn,10
Tracuit-Hütte,10
Turtmanntal,10
Brunegghorn,9
Sierre,8
Col de Tracuit,8
Bergen,8
Adlerflüe,7
Allalinhorn,7
Cabanne de Tracuit,7
Alpen,7
Col de Milon,7
Zermatt,7
Wand,7
Cabane,6
Brunegggletscher,6
Dom,6
Turtmanngletschers,6
Schweiz,6
Weges,6
Walliser,6
Roc de la Vache,6
Brunegghorns,5
Nebel,5
oberen Teil,5
Weisshornjoch,5
Tracuit Hütte,5
Mattertal,5
Tête de Milon,5
Tempo,5
Berner Alpen,5
Zinalrothorn,5
Weisshorn Nordgrat,5
Val d'Anniviers,5
Tracuit,5
Normalroute,5
Verhältnissen,4
Weißhorns,4
Matterhorn,4
Zürich,4
Mont Blanc,4
Barrhorn,4
Regen,4
der Schweiz,4
Berner Oberland,4
Oberems,4
Grenzen,4
Schneide,4
Schneedecke,4
Ostgipfel,3
Rothornhütte,3
Tal,3
Chamonix,3
Liskamm,3
Bändern,3
Dent Blanche,3
vetta,3
Rimpfischhorn,3
Gipfeln,3
Biwak,3
Gipfelplateau,3
cima,3
Gletschersee,3
Obergabelhorn,3
Barrhörner,3
Tages,3
Sattels,2
Gendarm,2
giornata,2
Gipfelnähe,2
Grand Gendarme,2
Schnee,2
weiss,2
Grand Gendarm,2
m di dislivello,2
Burnaby,2
Anseilplatz,2
Alphubel,2
Monte Rosa,2
Nordwestflanke,2
nachZinal,2
Aufstiegs,2
Besso,2
Mischabel,2
Hütten,2
Schneefeld,2
Grand Combin,2
Weisshornhütte,2
Schalihorn,2
Bahnhof,2
Postauto,2
Zug,2
Gässi,2
Hüttenpersonal,2
Höhenlinie,2
Visp,2
Monte Bianco,2
Schlafplatz,2
Saas-Fee,2
quota,2
